Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Volatility_7,Volume_Change,Target
2022-04-05,3326.1044921875,3814.800048828125,3835.60009765625,3772.0,3772.0,2314947,0.011789343169883892,3746.921456473214,3677.566650390625,0.004319093087897227,0.5715929596454568,0
2022-04-06,3274.26953125,3755.35009765625,3809.300048828125,3731.14990234375,3809.300048828125,2051729,-0.015584028103946768,3753.7286202566966,3690.4452311197915,0.008640436725842787,-0.11370368306488221,0
2022-04-07,3212.190673828125,3684.14990234375,3745.5,3679.0,3745.5,2494829,-0.01895966912830227,3750.700020926339,3694.4547526041665,0.011741198889828044,0.21596419410165768,1
2022-04-08,3213.498779296875,3685.64990234375,3705.0,3642.5,3690.0,2296773,0.00040714955682052967,3744.1428571428573,3696.980933779762,0.01126078793672373,-0.07938660325016267,1
2022-04-11,3222.871826171875,3696.39990234375,3712.35009765625,3656.10009765625,3690.0,2291660,0.002916717616929354,3737.9214215959823,3700.5737885974704,0.011302565196645223,-0.0022261668871934592,0
2022-04-12,3218.25048828125,3691.10009765625,3739.0,3648.35009765625,3683.0,4483476,-0.0014337747071521134,3728.257149832589,3704.952369326637,0.010927191834590426,0.9564315823464213,0
2022-04-13,3192.834228515625,3661.949951171875,3709.85009765625,3655.550048828125,3707.0,1621672,-0.007897414243218326,3712.771414620536,3705.8547479538693,0.010772195586630257,-0.6383002830839286,0
2022-04-18,3076.087890625,3528.050048828125,3610.0,3522.5,3610.0,3820792,-0.036565191804683206,3671.80712890625,3702.719040643601,0.013921706935536347,1.356081871056539,0
2022-04-19,3027.13134765625,3471.89990234375,3563.550048828125,3439.14990234375,3550.0,3170014,-0.01591534862239996,3631.3142438616073,3693.9571358816966,0.013940374215761879,-0.170325419441833,1
2022-04-20,3101.155029296875,3556.800048828125,3569.14990234375,3480.0,3500.0,2640370,0.02445351216118352,3613.121407645089,3688.4357096354165,0.018690046338137492,-0.16707938829292235,1
2022-04-21,3163.801025390625,3628.64990234375,3644.0,3567.39990234375,3580.0,2280996,0.020200700778582714,3604.9785505022323,3688.528564453125,0.02097742742022022,-0.13610743948764759,0
2022-04-22,3149.763916015625,3612.550048828125,3617.0,3571.5,3581.10009765625,1581465,-0.004436871549726051,3593.0,3684.319045293899,0.02087202287873074,-0.3066778722978909,0
2022-04-25,3093.656982421875,3548.199951171875,3584.0,3533.10009765625,3558.0,1960694,-0.017812929035301406,3572.585693359375,3676.5,0.02156274180430918,0.23979601192565125,0
2022-04-26,3092.000244140625,3546.300048828125,3587.89990234375,3518.14990234375,3575.14990234375,1943469,-0.0005354552646117394,3556.064278738839,3666.8071405319943,0.02160154361706976,-0.008785154644222914,1
2022-04-27,3104.9912109375,3561.199951171875,3568.449951171875,3506.300048828125,3546.0,1727648,0.004201534596226297,3560.799979073661,3659.8428548177085,0.016327555171858268,-0.11104936585044578,1
2022-04-28,3125.13232421875,3584.300048828125,3604.39990234375,3538.050048828125,3588.0,1703660,0.006486605069352613,3576.8571428571427,3653.9666689918154,0.014443112444662313,-0.013884772824093838,0
2022-04-29,3092.34912109375,3546.699951171875,3623.25,3536.85009765625,3597.0,2051115,-0.010490220445842247,3575.4142717633927,3646.4119001116073,0.01234437279946848,0.2039462099245155,0
2022-05-02,3088.599853515625,3542.39990234375,3547.949951171875,3492.75,3519.89990234375,1324161,-0.0012124084042418604,3563.092843191964,3637.4047502790177,0.008441942050405849,-0.35441893799226276,0
2022-05-04,3033.97509765625,3479.75,3545.449951171875,3465.300048828125,3538.5,2305825,-0.017685722693900008,3544.121407645089,3625.0142764136904,0.010045977974821029,0.7413479176625803,1
2022-05-05,3063.315185546875,3513.39990234375,3533.0,3485.35009765625,3512.10009765625,1612262,0.00967020686651332,3539.149972098214,3613.3309384300596,0.009701862799064763,-0.30078735376708987,0
2022-05-06,2992.865234375,3432.60009765625,3474.5,3424.5,3459.0,2010812,-0.022997611126931328,3522.9071219308034,3597.247605096726,0.012648406285472973,0.2471992765443829,1
